N,1.68,1.213
N,-0.321,-1.458
M,1.027,-2.626
N,2.636,4.068
N,1.395,0.52
N,0.38,4.078
N,4.069,5.29
N,-0.501,0.336
M,-0.579,-2.471
M,-1.644,0.726
U,8.331,9.42
M,-1.905,-0.149
N,0.602,2.601
N,-0.864,1.622
M,-3.697,-0.614
N,3.167,-0.404
N,1.737,1.917
N,3.405,0.169
M,-0.726,-2.393
N,1.362,-3.626
U,7.424,7.519
U,5.166,6.231
M,-2.085,3.252
M,2.052,-0.007
M,-2.046,-2.531
U,7.5,7.066
U,7.909,7.614
N,-2.214,0.524
U,7.22,5.588
M,0.496,-0.08
M,-1.818,-0.161
M,1.767,-1.75
N,1.491,1.174
N,0.876,-1.269
U,8.568,6.737
M,-3.521,0.494
U,5.859,5.217
U,4.768,8.359
U,4.846,7.808
N,1.122,1.617
N,2.304,1.295
N,-1.308,-1.68
U,7.171,4.946
N,-0.729,4.233
N,6.234,-1.67
N,0.714,2.631
U,11.533,8.008
U,11.0,5.779
N,0.044,1.147
M,-0.527,-1.549
U,7.589,8.271
U,5.634,6.727
N,1.711,0.108
M,-2.602,-1.622
M,0.963,-1.764
M,1.181,-2.97
N,-1.846,0.631
N,1.905,2.88
N,-0.363,3.878
N,0.749,-0.028
U,5.968,4.732
N,1.435,2.059
N,0.907,-0.293
N,3.522,0.108
N,4.983,1.601
M,-0.343,-1.323
U,6.059,7.434
M,-3.873,-4.445
N,2.481,2.269
N,0.611,1.987
M,2.128,-1.752
M,-3.109,2.113
U,7.319,5.556
M,2.079,-2.069
U,8.838,7.604
N,-1.565,-0.895
U,9.526,4.457
U,5.893,6.048
U,6.299,6.529
M,-1.416,-3.443
U,8.685,7.143
U,6.242,4.396
M,0.913,-2.182
U,5.032,7.69
N,4.147,5.048
M,-4.199,-4.974
M,-1.072,-0.928
U,7.946,7.785
M,0.222,-1.635
U,7.376,5.79
M,-1.087,-1.599
N,-0.134,1.032
N,1.098,0.956
M,-1.872,-2.448
U,7.054,8.311
M,-2.91,-0.572
M,-3.033,-0.935
N,2.819,2.909
U,7.65,8.728
N,1.001,0.105
N,-3.096,3.287
M,-1.003,0.315
N,2.53,0.067
N,0.102,0.419
M,-2.051,-2.353
U,8.131,6.768
M,-1.841,0.285
U,9.055,5.839
U,7.666,7.13
U,8.658,8.919
U,6.847,7.401
M,-3.236,-0.538
M,3.467,-2.129
M,1.74,-0.717
U,8.083,7.397
U,6.961,5.872
M,-3.523,-5.179
N,-1.386,0.146
N,1.997,-0.346
M,1.23,0.024
U,7.801,6.819
U,5.358,6.605
U,6.113,7.018
M,-0.774,-0.21
N,3.062,-1.083
U,6.686,8.419
